ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
1854,2.25,8.9591,3.9818,3000,12982,0,0,376888.833,3433575.811
4598,2.25,3.646,1.6204,0,1129,0,0,388888.833,3490575.811
2272,2.25,11.0449,4.9088,0,4122,0,0,355888.833,3442575.811
1388,2.25,9.3812,4.1694,0,14521,0,0,325888.833,3424575.811
2616,2.25,8.6503,3.8446,0,1568,96246,0,331888.833,3450075.811
1647,2.25,2.2532,1.0014,0,2076,0,0,390388.833,3429075.811
5444,2.25,0,0,0,880,0,0,361887.3957,3508574.363
1489,2.25,1.304,0.5795,0,3680,0,0,369388.833,3426075.811
3987,2.25,3.1885,1.4171,0,4907,0,0,336388.833,3478575.811
1184,2.25,1.1113,0.4939,0,5292,0,0,343888.833,3420075.811
2167,2.25,3.1142,1.3841,0,1697,0,0,306388.833,3441075.811
3735,2.25,0,0,0,263,0,0,389679.5485,3471846.545
4658,2.25,2.4191,1.0752,0,3128,0,0,370888.833,3492075.811
4382,2.25,0,0,0,1715,0,0,388888.833,3486075.811
2427,2.25,11.3078,5.0257,0,1375,0,0,372388.833,3445575.811
983,2.25,0,0,0,2147,0,0,366388.833,3415575.811
2854,2.25,6.3497,2.8221,21833.33,68997,0,0,364888.833,3454575.811
2828,2.25,11.8248,5.2555,0,1119,2976,0,325888.833,3454575.811
1707,2.25,4.3716,1.943,0,4809,0,0,372388.833,3430575.811
1022,2.25,6.3222,2.8099,0,1152,0,0,316888.833,3417075.811
3418,2.25,7.5717,3.3652,3917.52,42208,0,0,346888.833,3466575.811
4063,2.25,3.5563,1.5806,0,14413,0,0,342388.833,3480075.811
1211,2.25,4.5564,2.0251,0,1976,0,0,384388.833,3420075.811
3701,2.25,5.2746,2.3443,0,958,0,0,339388.833,3472575.811
2319,2.25,2.4601,1.0934,0,2153,0,0,318388.833,3444075.811
5092,2.25,3.3468,1.4875,0,860,0,0,373845.6761,3501018.737
1114,2.25,6.5012,2.8894,0,1905,0,0,346888.833,3418575.811
996,2.25,7.6803,3.4135,0,477,0,0,385888.833,3415575.811
4171,2.25,0,0,0,0,0,0,396388.8087,3481575.835
465,2.25,2.8749,1.2777,0,3082,0,0,345388.833,3405075.811
523,2.25,1.0174,0.4522,0,3322,0,0,324415.9069,3406764.365
3499,2.25,19.4651,8.6512,8001.37,155036,0,0,360388.833,3468075.811
2237,2.25,0,0,0,85,0,0,303388.833,3442575.811
3345,2.25,6.3663,2.8295,0,131863,0,0,345388.833,3465075.811
5089,2.25,1.5999,0.7111,0,2408,0,0,369388.833,3501075.811
3705,2.25,0.7564,0.3362,4072.5,22020,0,0,345388.833,3472575.811
2314,2.25,1.8509,0.8226,0,2399,0,0,310888.833,3444075.811
4139,2.25,3.5683,1.5859,3950,60659,0,0,348388.833,3481575.811
2913,2.25,13.1148,5.8288,7199.44,187164,0,0,345388.833,3456075.811
2380,2.25,2.9801,1.3245,0,483,0,0,301888.833,3445575.811
3922,2.25,3.7025,1.6456,0,23260,0,0,346888.833,3477075.811
4380,2.25,12.2292,5.4352,0,1555,0,0,385888.833,3486075.811
4051,2.25,1.8002,0.8001,0,1281,0,0,324422.856,3480049.323
2377,2.25,1.6768,0.7452,0,1220,0,0,297436.8194,3445530.377
1307,2.25,0,0,0,3607,0,0,312388.833,3423075.811
1260,2.25,5.7456,2.5536,2650,38649,0,0,349888.833,3421575.811
2695,2.25,27.8031,12.3569,0,87184,0,0,342388.833,3451575.811
3475,2.25,8.8209,3.9204,0,19199,0,0,324388.833,3468075.811
5867,2.25,0,0,0,1478,0,0,348388.833,3517575.811
6083,2.25,0,0,0,599,0,0,347816.4755,3521555.728
3415,2.25,2.4868,1.1052,0,25142,0,0,342388.833,3466575.811
1763,2.25,13.5269,6.0119,3235.54,118006,0,0,348388.833,3432075.811
3491,2.25,5.5091,2.4485,3449.08,71367,0,0,348388.833,3468075.811
5086,2.25,0,0,0,1501,0,0,364888.833,3501075.811
5435,2.25,0,0,0,1424,0,0,348388.833,3508575.811
2044,2.25,22.4287,9.9683,0,12942,0,0,337888.833,3438075.811
3361,2.25,7.6932,3.4192,3460,17282,0,0,369388.833,3465075.811
5426,2.25,0,0,0,0,0,0,334987.858,3508902.523
3928,2.25,0.6601,0.2934,3633.75,45018,0,0,355762.9471,3476597.926
1917,2.25,7.7028,3.4235,0,1074,0,0,363388.833,3435075.811
5576,2.25,0,0,0,1083,0,0,343888.833,3511575.811
4586,2.25,0,0,2900,986,0,0,370888.833,3490575.811
5094,2.25,0.1649,0.0733,0,934,0,0,376725.0944,3500585.827
3356,2.25,12.0316,5.3474,5351.09,86658,0,0,361888.833,3465075.811
2999,2.25,21.3674,9.4966,17410.34,58837,0,0,366388.833,3457575.811
3691,2.25,5.711,2.5382,0,977,0,0,324388.833,3472575.811
1191,2.25,15.6017,6.9341,2600,13617,0,4,354388.833,3420075.811
